sku,family,name,width_mm,depth_mm,height_mm,list_price_inr,labour_minutes,lead_time_days,compatible_finish_ids
NW-DES-018,desk,Northwind Desk 18,1400,700,780,29720,27,19,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-019,desk,Northwind Desk 19,1600,700,740,30380,30,7,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-020,desk,Northwind Desk 20,1800,700,760,31040,33,10,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-021,desk,Northwind Desk 21,1200,750,780,31700,24,13,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-022,desk,Northwind Desk 22,1400,750,740,32360,27,16,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-023,desk,Northwind Desk 23,1600,750,760,33020,30,19,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-DES-024,desk,Northwind Desk 24,1800,750,780,33680,33,7,F01|F02|F03|F04|F05|F09|F10|F11|F17
NW-CHA-001,chair,Northwind Chair 01,520,520,980,9200,12,16,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-002,chair,Northwind Chair 02,560,520,1000,9945,15,19,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-003,chair,Northwind Chair 03,600,520,1020,10690,18,7,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-004,chair,Northwind Chair 04,640,520,980,11435,21,10,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-005,chair,Northwind Chair 05,520,560,1000,12180,12,13,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-006,chair,Northwind Chair 06,560,560,1020,12925,15,16,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-007,chair,Northwind Chair 07,600,560,980,13670,18,19,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-008,chair,Northwind Chair 08,640,560,1000,14415,21,7,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-009,chair,Northwind Chair 09,520,600,1020,15160,12,10,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-010,chair,Northwind Chair 10,560,600,980,15905,15,13,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-011,chair,Northwind Chair 11,600,600,1000,16650,18,16,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-012,chair,Northwind Chair 12,640,600,1020,17395,21,19,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-013,chair,Northwind Chair 13,520,520,980,18140,12,7,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-014,chair,Northwind Chair 14,560,520,1000,18885,15,10,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-015,chair,Northwind Chair 15,600,520,1020,19630,18,13,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-016,chair,Northwind Chair 16,640,520,980,20375,21,16,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-017,chair,Northwind Chair 17,520,560,1000,21120,12,19,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-018,chair,Northwind Chair 18,560,560,1020,21865,15,7,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-019,chair,Northwind Chair 19,600,560,980,22610,18,10,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-020,chair,Northwind Chair 20,640,560,1000,23355,21,13,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-021,chair,Northwind Chair 21,520,600,1020,24100,12,16,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-022,chair,Northwind Chair 22,560,600,980,24845,15,19,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-023,chair,Northwind Chair 23,600,600,1000,25590,18,7,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-CHA-024,chair,Northwind Chair 24,640,600,1020,26335,21,10,F02|F06|F07|F08|F09|F10|F11|F13|F14|F15|F18
NW-STO-001,storage,Northwind Storage 01,800,400,1200,14800,30,19,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-002,storage,Northwind Storage 02,1000,400,1220,15630,33,7,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-003,storage,Northwind Storage 03,1200,400,1240,16460,36,10,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-004,storage,Northwind Storage 04,1600,400,1200,17290,39,13,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-005,storage,Northwind Storage 05,800,450,1220,18120,30,16,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-006,storage,Northwind Storage 06,1000,450,1240,18950,33,19,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-007,storage,Northwind Storage 07,1200,450,1200,19780,36,7,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-008,storage,Northwind Storage 08,1600,450,1220,20610,39,10,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-009,storage,Northwind Storage 09,800,500,1240,21440,30,13,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-010,storage,Northwind Storage 10,1000,500,1200,22270,33,16,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-011,storage,Northwind Storage 11,1200,500,1220,23100,36,19,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-012,storage,Northwind Storage 12,1600,500,1240,23930,39,7,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-013,storage,Northwind Storage 13,800,400,1200,24760,30,10,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-014,storage,Northwind Storage 14,1000,400,1220,25590,33,13,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-015,storage,Northwind Storage 15,1200,400,1240,26420,36,16,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-016,storage,Northwind Storage 16,1600,400,1200,27250,39,19,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-017,storage,Northwind Storage 17,800,450,1220,28080,30,7,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-018,storage,Northwind Storage 18,1000,450,1240,28910,33,10,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-019,storage,Northwind Storage 19,1200,450,1200,29740,36,13,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-020,storage,Northwind Storage 20,1600,450,1220,30570,39,16,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-021,storage,Northwind Storage 21,800,500,1240,31400,30,19,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-022,storage,Northwind Storage 22,1000,500,1200,32230,33,7,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-023,storage,Northwind Storage 23,1200,500,1220,33060,36,10,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-STO-024,storage,Northwind Storage 24,1600,500,1240,33890,39,13,F01|F02|F03|F04|F05|F06|F07|F09|F10|F11|F16|F17
NW-COL-001,collaboration,Northwind Collaboration 01,1200,700,740,26000,36,7,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-002,collaboration,Northwind Collaboration 02,1600,700,760,26915,39,10,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-003,collaboration,Northwind Collaboration 03,2000,700,780,27830,42,13,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-004,collaboration,Northwind Collaboration 04,2400,700,740,28745,45,16,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-005,collaboration,Northwind Collaboration 05,1200,900,760,29660,36,19,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-006,collaboration,Northwind Collaboration 06,1600,900,780,30575,39,7,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-007,collaboration,Northwind Collaboration 07,2000,900,740,31490,42,10,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-008,collaboration,Northwind Collaboration 08,2400,900,760,32405,45,13,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-009,collaboration,Northwind Collaboration 09,1200,1100,780,33320,36,16,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-010,collaboration,Northwind Collaboration 10,1600,1100,740,34235,39,19,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-011,collaboration,Northwind Collaboration 11,2000,1100,760,35150,42,7,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-012,collaboration,Northwind Collaboration 12,2400,1100,780,36065,45,10,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-013,collaboration,Northwind Collaboration 13,1200,700,740,36980,36,13,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-014,collaboration,Northwind Collaboration 14,1600,700,760,37895,39,16,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-015,collaboration,Northwind Collaboration 15,2000,700,780,38810,42,19,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-016,collaboration,Northwind Collaboration 16,2400,700,740,39725,45,7,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-017,collaboration,Northwind Collaboration 17,1200,900,760,40640,36,10,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-018,collaboration,Northwind Collaboration 18,1600,900,780,41555,39,13,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-019,collaboration,Northwind Collaboration 19,2000,900,740,42470,42,16,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-020,collaboration,Northwind Collaboration 20,2400,900,760,43385,45,19,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-021,collaboration,Northwind Collaboration 21,1200,1100,780,44300,36,7,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-022,collaboration,Northwind Collaboration 22,1600,1100,740,45215,39,10,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-023,collaboration,Northwind Collaboration 23,2000,1100,760,46130,42,13,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-COL-024,collaboration,Northwind Collaboration 24,2400,1100,780,47045,45,16,F01|F02|F03|F04|F05|F09|F10|F11|F12|F13|F14|F15|F17
NW-ACC-001,accessory,Northwind Accessorie 01,300,180,450,4200,8,10,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-002,accessory,Northwind Accessorie 02,450,180,470,5200,11,13,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-003,accessory,Northwind Accessorie 03,600,180,490,6200,14,16,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-004,accessory,Northwind Accessorie 04,900,180,450,7200,17,19,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-005,accessory,Northwind Accessorie 05,300,250,470,8200,8,7,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-006,accessory,Northwind Accessorie 06,450,250,490,9200,11,10,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-007,accessory,Northwind Accessorie 07,600,250,450,10200,14,13,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-008,accessory,Northwind Accessorie 08,900,250,470,11200,17,16,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-009,accessory,Northwind Accessorie 09,300,320,490,12200,8,19,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-010,accessory,Northwind Accessorie 10,450,320,450,13200,11,7,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-011,accessory,Northwind Accessorie 11,600,320,470,14200,14,10,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-012,accessory,Northwind Accessorie 12,900,320,490,15200,17,13,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-013,accessory,Northwind Accessorie 13,300,180,450,16200,8,16,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-014,accessory,Northwind Accessorie 14,450,180,470,17200,11,19,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-015,accessory,Northwind Accessorie 15,600,180,490,18200,14,7,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-016,accessory,Northwind Accessorie 16,900,180,450,19200,17,10,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-017,accessory,Northwind Accessorie 17,300,250,470,20200,8,13,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-018,accessory,Northwind Accessorie 18,450,250,490,21200,11,16,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-019,accessory,Northwind Accessorie 19,600,250,450,22200,14,19,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-020,accessory,Northwind Accessorie 20,900,250,470,23200,17,7,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-021,accessory,Northwind Accessorie 21,300,320,490,24200,8,10,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-022,accessory,Northwind Accessorie 22,450,320,450,25200,11,13,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-023,accessory,Northwind Accessorie 23,600,320,470,26200,14,16,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
NW-ACC-024,accessory,Northwind Accessorie 24,900,320,490,27200,17,19,F01|F02|F05|F06|F07|F08|F09|F10|F11|F12|F16
